**** 28-Oct-2016 16:33:06 Capture Started
16:33:06:965| 00000-000000
16:33:07:514| + --To--
16:33:07:884|  + 000001
16:33:08:172|  + 000001
16:33:17:669|  + 000001
16:33:37:768|  + 000010
16:33:38:056|  + 000026
16:33:38:346|  + 000038
16:33:38:635|  + 000048
16:33:38:924|  + 000058
16:33:39:212|  + 000068
16:33:39:501|  + 000078
16:33:39:790|  + 000088
16:33:40:078|  + 000098
16:33:40:367|  + 000108
16:33:40:656|  + 000118
16:33:40:945|  + 000128
16:33:41:233|  + 000138
16:33:41:522|  + 000148
16:33:41:811|  + 000158
16:33:42:100|  + 000168
16:33:42:388|  + 000178
16:33:42:677|  + 000188
16:33:42:966|  + 000198
16:33:43:254|  + 000208
16:33:43:543|  + 000218
16:33:43:830|  
**** 28-Oct-2016 16:33:43 Capture Stopped
